State,2016 Dem,2016 Rep,2016 Tot,2018 Dem,2018 Rep,2018 Tot,2020 Dem,2020 Rep,2020 Tot,2022 Dem,2022 Rep,2022 Tot
Alabama,621911,1222018,1889685,678687,975737,1659895,608809,1416012,2051659,318540,942393,1343710
Alaska,111019,155088,308198,131199,149779,282166,159856,192126,353165,128553,129379,263610
Arizona,1034687,1264378,2412064,1179193,1139251,2341270,1629318,1638516,3268249,1004462,1324961,2360078
Arkansas,111347,760415,1068577,312978,556339,889158,330485,828266,1179396,271771,598000,895102
California,8624432,4682033,13414018,8010445,3973396,12184522,11084234,5640667,16724901,6743737,3859666,10656368
Colorado,1263791,1288618,2701438,1343211,1079772,2513907,1679052,1378248,3164950,1365427,1050960,2472074
Connecticut,916815,558162,1575183,808652,512495,1379808,1022792,676650,1772927,712823,521387,1261351
Delaware,233554,172301,420617,227353,125384,353814,281382,196392,488270,178416,138201,321649
Florida,3985050,4733630,8837426,3307228,3675417,7021476,4942287,5469164,10464791,2905702,4271196,7332304
Georgia,1498437,2272460,3772862,1814469,1987191,3802343,2393089,2490396,4883611,1863870,2044802,3908686
Hawaii,316265,85626,437664,287921,87348,398657,354762,155215,579784,271953,124091,419363
Idaho,208992,447544,681594,207303,367993,595724,255531,561405,849909,180997,395351,583628
Illinois,2810536,2397436,5241767,2757540,1754449,4539704,3355487,2416929,5876819,2271361,1768782,4049405
Indiana,1052901,1442989,2658367,1000104,1247978,2256149,1194901,1738745,2996444,716348,1108351,1856549
Iowa,673969,813153,1515555,664676,612338,1316442,762271,859418,1700268,526460,677857,1230416
Kansas,317635,694240,1173736,464380,563190,1050322,557258,775898,1358953,425322,569567,1001817
Kentucky,516904,1248140,1765376,612977,935304,1569798,735419,1363964,2115895,490921,953296,1463418
Louisiana,530050,1177543,1749021,553184,835715,1460593,727402,1169788,1947135,318932,773701,1133124
Maine,386627,357447,771828,343635,250119,631334,468978,340236,828305,384889,275405,1014242
Maryland,1636200,962088,2707745,1493047,737906,2286284,1912740,1028150,2954170,1291446,690463,1995728
Massachusetts,2344518,451121,3378801,1943595,497953,2752665,2482596,699001,3658005,1636400,706790,2511461
Michigan,2193980,2243402,4670905,2175003,1853459,4154703,2688527,2617881,5423140,2184504,2083361,4375537
Minnesota,1434559,1334679,2860389,1420769,1125533,2576996,1554373,1474820,3193809,1250518,1200855,2495832
Mississippi,449896,680810,1182273,398770,471162,938903,421014,806832,1227846,251202,454329,709100
Missouri,1041306,1600524,2750079,1027969,1330975,2418413,1172135,1723982,2973421,794978,1223617,2060089
Montana,205919,285358,507831,233284,256661,504421,262340,339169,601509,158745,245081,463632
Nebraska,221069,557557,788266,264493,432077,696570,326018,585234,941298,235572,414599,663187
Nevada,508113,498104,1078497,491272,439727,960774,665526,633827,1355607,480774,515535,1009503
New Hampshire,336451,316001,716493,311242,248986,570744,413895,354045,787102,339027,277808,617546
New Jersey,1821620,1541631,3463311,1856819,1198664,3098743,2539128,1843047,4432923,1416422,1160260,2609716
New Mexico,436932,343124,780126,404026,264701,693311,495781,407786,903684,387665,316352,704126
New York,4202200,2140917,7800361,3760566,1639593,6250885,4716619,2691583,8604429,3028115,2233120,5965824
North Carolina,2142661,2447326,4598458,1632720,1706795,3380609,2660535,2631336,5325245,1795170,1956906,3760753
North Dakota,80377,233980,338459,114377,193568,321532,97970,245229,355598,0,148399,238586
Ohio,2154523,2996017,5218355,2082684,2291333,4406358,2451500,3252887,5761540,1790614,2318993,4109711
Oklahoma,305222,781691,1133244,428452,730531,1178836,475731,1044175,1551383,356988,760639,1146311
Oregon,1026851,730894,1911865,1061412,702531,1847646,1285339,966786,2308189,1012725,851991,1906940
Pennsylvania,2625157,3096576,5743978,2712665,2206260,4929875,3346712,3432595,6779307,2436919,2702262,5152001
Rhode Island,263642,141324,431519,242575,129838,373280,312636,109894,488417,201750,150024,357823
South Carolina,767627,1177365,2011746,758340,927494,1709292,1076799,1412684,2505442,517129,1056078,1602341
South Dakota,132810,237163,369973,121033,202695,335965,0,321984,397732,0,253821,327841
Tennessee,814181,1493740,2391061,846450,1279655,2159825,1105537,1685255,2841744,581902,1099462,1710425
Texas,3160535,4877605,8528526,3852752,4135359,8202555,4896673,5926712,11093626,2999053,4559280,7751761
Utah,356287,710635,1114144,374009,617307,1052506,505946,873347,1432232,342078,670924,1063258
Vermont,264414,100000,320467,188547,70705,278230,238827,95830,370968,176494,78397,291955
Virginia,1859426,1843010,3781568,1867061,1408701,3312956,2253974,2047635,4335436,1572296,1462049,3047729
Washington,1736145,1404890,3141035,1888593,899744,3021951,2340356,1545436,3944233,1751582,1261961,3026173
West Virginia,224449,445017,686349,234568,337146,577991,246903,514268,761385,149706,312004,472082
Wisconsin,1379996,1270279,2773662,1367492,1172964,2571655,1566671,1661399,3238051,1012955,1403080,2531324
Wyoming,75466,156176,258788,59903,127963,205275,66576,185732,278503,47250,132206,198198
