Pollster,Date,Contest,Target,Dem,Rep
RESULT,11/3/20,President,,51.4,46.9
YouGov,11/2/20,President,,53,43
Reuters,11/2/20,President,,52,45
CNBC,11/1/20,President,,52,42
Rasmussen,11/1/20,President,,48,47
Quinnipiac,11/1/20,President,,50,39
NBC,10/31/20,President,,52,42
Fox News,10/29/20,President,,52,44
Harvard-Harris,10/28/20,President,,54,46
The Hill,10/28/20,President,,49,45
Emerson,10/26/20,President,,50,45
RESULT,11/8/22,House,,47.8,50.6
YouGov,11/6/22,House,,48,49
NBC,11/5/22,House,,48,47
Emerson,10/19/22,House,,41,46
Rasmussen,11/3/22,House,,43,48
Quinnipiac,10/30/22,House,,44,48
Fox News,10/12/22,House,,46,47
