State,Abbreviation,Electoral Seats,Senate Election,Color Coding,2016 Dem,2016 Rep,2016 Tot,2020 Dem,2020 Rep,2020 Tot
Alabama,AL,9,0,"100,100,100",729547,1318255,2123372,849624,1441170,2323282
Alaska,AK,3,0,"120,100,100",116454,163387,318608,153778,189951,359530
Arizona,AZ,11,1,"140,100,100",1161167,1252401,2604657,1672143,1661686,3387326
Arkansas,AR,6,0,"160,100,100",380494,684872,1130676,423932,760647,1219069
California,CA,54,1,"180,100,100",8753788,4483810,14181595,11110639,6006518,17501380
Colorado,CO,10,0,"200,100,100",1338870,1202484,2780247,1804352,1364607,3256980
Connecticut,CT,7,1,"100,120,100",897572,673215,1644920,1080831,714717,1823857
Delaware,DE,3,1,"120,120,100",235603,185127,443814,296268,200603,504346
District of Columbia,DC,3,0,"140,120,100",282830,12723,311268,317323,18586,344356
Florida,FL,30,1,"160,120,100",4504975,4617886,9420039,5297045,5668731,11067456
Georgia,GA,16,0,"180,120,100",1877963,2089104,4114732,2473633,2461854,4999960
Hawaii,HI,4,1,"200,120,100",266891,128847,428937,366130,196864,574469
Idaho,ID,4,0,"100,140,100",189765,409055,690255,287021,554119,867934
Illinois,IL,19,0,"120,140,100",3090729,2146015,5536424,3471915,2446891,6033744
Indiana,IN,11,1,"140,140,100",1033126,1557286,2734958,1242498,1729857,3033210
Iowa,IA,6,0,"160,140,100",653669,800983,1566031,759061,897672,1690871
Kansas,KS,6,0,"180,140,100",427005,671018,1184402,570323,771406,1373986
Kentucky,KY,8,0,"200,140,100",628854,1202971,1924149,772474,1326646,2136768
Louisiana,LA,8,0,"100,160,100",780154,1178638,2029032,856034,1255776,2148062
Maine,ME,2,1,"120,160,100",357735,335593,747927,435072,360737,819461
Maine 1st,ME 1,1,0,"140,160,100",212774,154384,394329,266376,164045,443112
Maine 2nd,ME 2,1,0,"160,160,100",144817,181177,353416,168696,196692,376349
Maryland,MD,10,1,"180,160,100",1677928,943169,2781446,1985023,976414,3037030
Massachusetts,MA,11,1,"200,160,100",1995196,1090893,3325046,2382202,1167202,3631402
Michigan,MI,15,1,"100,180,100",2268839,2279543,4799284,2804040,2649852,5539302
Minnesota,MN,10,1,"120,180,100",1367716,1322951,2944813,1717077,1484065,3277171
Mississippi,MS,6,1,"140,180,100",485131,700714,1209357,539398,756764,1313759
Missouri,MO,10,1,"160,180,100",1071068,1594511,2808605,1253014,1718736,3025962
Montana,MT,4,1,"180,180,100",177709,279240,497147,244786,343602,603674
Nebraska,NE,2,2,"200,180,100",284494,495961,844227,374583,556846,956383
Nebraska 1st,NE 1,1,0,"100,100,200",100132,158642,282338,132261,180290,321886
Nebraska 2nd,NE 2,1,0,"120,100,200",131030,137564,291680,176468,154377,339666
Nebraska 3rd,NE 3,1,0,"140,100,200",53332,199755,270109,65854,222179,294831
Nevada,NV,6,1,"160,100,200",539260,512058,1125385,703486,669890,1405376
New Hampshire,NH,4,0,"180,100,200",348526,345790,744296,424937,365660,806205
New Jersey,NJ,14,1,"200,100,200",2148278,1601933,3874046,2608400,1883313,4549457
New Mexico,NM,5,1,"100,120,200",385234,319667,798319,501614,401894,923965
New York,NY,28,1,"120,120,200",4556124,2819534,7721453,5244886,3251997,8616861
North Carolina,NC,16,0,"140,120,200",2189316,2362631,4741564,2684292,2758775,5524804
North Dakota,ND,3,1,"160,120,200",93758,216794,344360,115042,235751,362024
Ohio,OH,17,1,"180,120,200",2394164,2841005,5496487,2679165,3154834,5922202
Oklahoma,OK,7,0,"200,120,200",420375,949136,1452992,503890,1020280,1560699
Oregon,OR,8,0,"100,140,200",1002106,782403,2001336,1340383,958448,2374321
Pennsylvania,PA,19,1,"120,140,200",2926441,2970733,6165478,3458229,3377674,6936976
Rhode Island,RI,4,1,"140,140,200",252525,180543,464144,307486,199922,517757
South Carolina,SC,9,0,"160,140,200",855373,1155389,2103027,1091541,1385103,2513329
South Dakota,SD,3,0,"180,140,200",117458,227721,370093,150471,261043,422609
Tennessee,TN,11,1,"200,140,200",870695,1522925,2508027,1143711,1852475,3053851
Texas,TX,40,1,"100,160,200",3877868,4685047,8969226,5259126,5890347,11315056
Utah,UT,6,1,"120,160,200",310676,515231,1131430,560282,865140,1488289
Vermont,VT,3,1,"140,160,200",178573,95369,315067,242820,112704,367428
Virginia,VA,13,1,"160,160,200",1981473,1769443,3984631,2413568,1962430,4460524
Washington,WA,12,1,"180,160,200",1742718,1221747,3317019,2369612,1584651,4087631
West Virginia,WV,4,1,"200,160,200",188794,489371,714423,235984,545382,794731
Wisconsin,WI,10,1,"100,180,200",1382536,1405284,2976150,1630866,1610184,3298041
Wyoming,WY,3,1,"120,180,200",55973,174419,255849,73491,193559,276765
